Date,y,Fridge,Chest Freezer,Upright Freezer,Tumble Dryer,Washing Machine,Dishwasher,Computer Site,Television Site,Electric Heater,ds,weekday,is_weekend,temperature
2013-10-09,5285.854060222416,134.30973612732018,196.13640142659975,235.17011999665388,204.8172786177106,0.0,0.0,0.0,87.91710476542562,10.99824253075571,2013-10-09,2,0,0
2013-10-10,13940.583453297228,393.5147100356184,350.92647714125775,789.0554394151071,0.1958041958041958,0.0,926.0466690843402,29.18006993006993,164.11413891921785,23.992369620744284,2013-10-10,3,0,0
2013-10-11,5650.981448168584,320.6541217379711,375.39687915082095,633.2890949648786,0.0,0.0,0.0,0.0,1.404293381037567,23.996661101836395,2013-10-11,4,0,0
2013-10-12,5157.629574200895,304.43363256183346,364.14626983993793,598.3958067778357,0.0,0.0,0.0,0.0,1.4581818181818182,23.972376481918015,2013-10-12,5,1,0
2013-10-13,5146.0857694907345,276.6595172866211,361.36250676950425,609.1436108568636,0.0,0.0,0.0,0.0,1.511744966442953,23.989839980116415,2013-10-13,6,1,0
2013-10-14,5904.0880537422,265.3958531076727,370.48433606237637,617.8065684577114,0.0,0.0,0.0,0.0,1.5041876046901173,23.984915793762628,2013-10-14,0,0,0
2013-10-15,7649.287432726637,249.96505843009805,348.084076344889,550.5856698153194,0.0,0.0,0.003338898163606,0.0,1.573109243697479,23.991556537640097,2013-10-15,1,0,0
2013-10-16,6020.67425280577,249.89590072523154,346.16769316241044,562.1726562706476,0.0,0.0,0.0,0.0,1.5660377358490567,24.0,2013-10-16,2,0,0
2013-10-17,11063.722735094678,244.3446695897691,365.5286659558851,573.2313194481109,0.0,0.0,0.0,0.0,1.5167224080267558,23.98816571418804,2013-10-17,3,0,0
2013-10-18,5218.830785243727,294.07088045407176,367.17386074093594,570.3994620036057,0.0,0.0,0.0,0.0,1.510135135135135,23.998275862068965,2013-10-18,4,0,0
2013-10-19,4452.024264431512,278.7786694403388,380.58144183680855,557.0747607520661,0.0,0.0,0.0,0.0,1.5202702702702702,23.984893007768253,2013-10-19,5,1,0
2013-10-20,7942.880694389261,277.50403253960303,385.30950599755766,573.9833127005638,0.0,0.0,0.0,0.0,1.546979865771812,23.954676930019406,2013-10-20,6,1,0
2013-10-21,5111.692368069833,266.01159450693257,351.7102306742788,590.4779228733328,0.0,0.0,0.0,0.0,1.5261382799325465,23.976995081562613,2013-10-21,0,0,0
2013-10-22,8318.50936056248,305.399594241256,396.2532388605534,591.3134080680302,0.0,0.0066666666666666,0.0,36.665765570934255,74.37469413630423,23.97816991010309,2013-10-22,1,0,0
2013-10-23,14058.138380314736,430.2272298577258,395.4497020017638,738.3218676093352,118.06761651315752,1102.1930938545493,0.2365988909426987,43.290820272664064,214.99131503907773,24.0,2013-10-23,2,0,0
2013-10-24,14656.479698810106,431.7397885432575,400.7967855947537,780.4349154835097,350.1527743627572,264.2704081632653,0.0,13.165,100.74415063091813,23.989272579903705,2013-10-24,3,0,0
