Time,Aggregate,Fridge,Chest Freezer,Upright Freezer,Tumble Dryer,Washing Machine,Dishwasher,Computer Site,Television Site,Electric Heater
2013-10-09 13:00:00,969.7840909090909,17.045454545454547,18.78787878787879,2.225378787878788,0.0,0.0,0.0,0.0,0.0,1.0
2013-10-09 14:00:00,651.3003472222222,2.845486111111111,18.203125,41.786458333333336,0.0,0.0,0.0,0.0,0.0,1.0
2013-10-09 15:00:00,599.4684210526316,36.46842105263158,17.30701754385965,37.0859649122807,0.0,0.0,0.0,0.0,0.0,1.0
2013-10-09 16:00:00,290.96485061511424,0.7100175746924429,17.09841827768014,9.739894551845342,0.0,0.0,0.0,0.0,0.0,0.9982425307557118
2013-10-09 17:00:00,305.5097192224622,37.92872570194385,21.002159827213823,35.98272138228942,0.017278617710583154,0.0,0.0,0.0,29.61987041036717,1.0
2013-10-09 18:00:00,367.64912280701753,0.0,14.442105263157895,28.010526315789473,0.0,0.0,0.0,0.0,29.978947368421053,1.0
2013-10-09 19:00:00,349.15,0.0,22.425,0.0,204.8,0.0,0.0,0.0,0.0,1.0
2013-10-09 20:00:00,348.56986301369864,0.0,23.315068493150687,0.3780821917808219,0.0,0.0,0.0,0.0,0.0,1.0
2013-10-09 21:00:00,749.5410385259631,33.11390284757119,14.698492462311558,39.904522613065325,0.0,0.0,0.0,0.0,21.817420435510886,1.0
2013-10-09 22:00:00,461.79202772963606,2.320623916811092,14.714038128249566,19.506065857885616,0.0,0.0,0.0,0.0,6.500866551126516,1.0
2013-10-09 23:00:00,192.12457912457913,3.877104377104377,14.143097643097644,20.550505050505052,0.0,0.0,0.0,0.0,0.0,1.0
2013-10-10 00:00:00,223.6076794657763,31.69449081803005,13.996661101836393,39.636060100166944,0.0,0.0,0.0,0.0,9.520868113522537,1.0
2013-10-10 01:00:00,193.57142857142858,0.0,13.623529411764705,22.507563025210086,0.0,0.0,0.0,0.0,0.0,1.0
2013-10-10 02:00:00,201.0536013400335,35.27638190954774,13.839195979899497,16.499162479061976,0.0,0.0,0.0,0.0,1.4807370184254607,1.0
2013-10-10 03:00:00,199.31950207468878,0.0,13.076763485477178,37.15767634854772,0.0,0.0,0.0,0.0,0.0,1.0
2013-10-10 04:00:00,197.3036093418259,5.473460721868365,13.21656050955414,23.666666666666668,0.0,0.0,0.0,0.0,0.0,0.9957537154989384
2013-10-10 05:00:00,232.5352422907489,27.889867841409693,13.986784140969164,13.165198237885463,0.0,0.0,0.0,0.0,0.0,1.0
2013-10-10 06:00:00,613.6703296703297,5.874725274725274,14.47912087912088,92.98461538461538,0.0,0.0,0.0,0.0,0.0,1.0
2013-10-10 07:00:00,758.174193548387,28.490322580645163,14.352688172043012,73.02795698924731,0.0,0.0,0.0,0.0,0.0,1.0
2013-10-10 08:00:00,651.4088397790056,0.0,15.732044198895027,30.10220994475138,0.0,0.0,0.0,0.0,0.0,1.0
2013-10-10 09:00:00,1030.7228464419475,42.676029962546814,13.228464419475655,42.758426966292134,0.0,0.0,0.0,0.0,0.0,1.0
