ds,yhat,yhat_lower,yhat_upper
2013-10-09,8.613001508821167,6.3750735329585915,10.917387020169237
2013-10-10,8.819046215198075,6.4199730141613225,11.29782614193501
2013-10-11,8.543307611497102,6.2369051837890135,10.913779487115784
2013-10-12,8.415642203927082,6.041343833366818,10.785137702330154
2013-10-13,8.323267191526822,5.899597175214059,10.6691652051397
2013-10-14,8.077044598642544,5.735329519134582,10.354563332401717
2013-10-15,8.358568970593302,5.895957853616383,10.778956742944766
2013-10-16,8.547370452419166,6.077036258598312,10.903050935938257
2013-10-17,8.99715209810012,6.716621867751086,11.379067902348806
2013-10-18,9.023618543523,6.642049715386527,11.53421165728957
2013-10-19,9.140775601078664,6.735401419020695,11.525866650387753
2013-10-20,9.145683893092682,6.821985020368359,11.455591077627783
2013-10-21,8.81791675693125,6.296440307349251,11.157869844917576
2013-10-22,8.87294189758705,6.453386046712369,11.33337663000407
2013-10-23,8.767013475025411,6.389369342505271,11.107818692039206
2013-10-24,8.935091582869578,6.352527239307405,11.288393040329705
2013-10-25,8.744273149620318,6.341634042012695,11.053216895288646
2013-10-26,8.716034678890079,6.352160969126769,11.107967129840693
2013-10-27,8.621696465930626,6.330846613084712,10.982972308021415
2013-10-28,8.208340167596125,5.784318459080061,10.471451659254324
2013-10-29,8.177988032241027,5.596645427376839,10.425887417814572
2013-10-30,8.003485749892898,5.601179669778405,10.379211693376789
2013-10-31,8.158227816648715,5.851024944627245,10.464584283955194
2013-11-01,8.048823839787469,5.648104992884508,10.304876626568776
2013-11-02,8.216463324783495,5.8110867463421805,10.493186056269108
2013-11-03,8.421871038630146,6.011831058986598,10.673294870522572
2013-11-04,8.374084658608279,6.118692819105527,10.704225655316687
2013-11-05,8.7212447404017,6.292442008765759,11.107788794330618
2013-11-06,8.879200896572183,6.586336590496021,11.310088219645833
2013-11-07,9.270095528747916,6.764862484919838,11.642240807646278
2013-11-08,9.260422220182512,6.841191881257726,11.627067431249925
2013-11-09,9.36816458333528,7.125955820746706,11.652534732458143
2013-11-10,9.356398564429977,6.973230958864154,11.559149924841995
2013-11-11,8.970928465186132,6.627250085021207,11.40542663325197
2013-11-12,8.93278543626641,6.438574153658456,11.243385586323214
2013-11-13,8.754240189914686,6.2980015855196125,11.062390368409682
2013-11-14,8.949771174801743,6.5598043999470015,11.222205750119862
2013-11-15,8.94024085598986,6.6971811384377355,11.335053597107459
2013-11-16,9.235187717390255,7.039434600278813,11.474497742735416
2013-11-17,9.524552939353526,7.255549027390656,11.810486459070413
2013-11-18,9.441537154721122,7.011414468490994,11.681971688269165
2013-11-19,9.598026254013996,7.2872640448769985,11.953885878583673
2013-11-20,9.44213091065246,6.95676580482181,11.751567580930152
2013-11-21,9.490092159759133,7.030449329903655,11.847291553533312
2013-11-22,9.221709856173222,7.080222395390182,11.564808852242026
2013-11-23,9.230067487138035,7.015171323229564,11.696963510780897
2013-11-24,9.274385093750391,6.866511549514024,11.597926446283
2013-11-25,9.017222488351042,6.691972403474369,11.349944564931617
2013-11-26,9.058584924745002,6.605669644822221,11.437034349608538
2013-11-27,8.813845520500132,6.569168601143025,11.288360128215665
2013-11-28,8.773910067183026,6.452045870412028,11.26537734860883
2013-11-29,8.420298694085,6.04068162768241,10.703002426956798
2013-11-30,8.376056317697378,5.990832150492972,10.615283489862406
2013-12-01,8.44273798999341,6.106845321281368,10.967130237827885
2013-12-02,8.315156491959973,5.966565517618157,10.653440687579725
2013-12-03,8.598856195508606,6.156784284807733,10.957435236924498
2013-12-04,8.684353737474597,6.234558939847881,11.021091070724042
2013-12-05,9.015424130702181,6.415824796687288,11.161085107365885
2013-12-06,9.017231471350014,6.763558981041901,11.28340480195929
2013-12-07,9.25830640455889,6.991167086815604,11.645340810773273
2013-12-08,9.494280117487461,7.282799555702815,11.759694976925747
2013-12-09,9.387685089828482,7.185102326843702,11.601448031532444
2013-12-10,9.532592537998728,7.193296512462084,11.929028800712114
2013-12-11,9.338299078143159,6.9319497908093775,11.846956686873433
